study Id,author,publication year,publication URL
475,"Guerra M, Neres R, Salgueiro P, Mendes C, Ndong-Mabale N, Berzosa P, de Sousa B, Arez AP",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=27795385
557,"Berzosa P, Esteban-Cantos A, García L, González V, Navarro M, Fernández T, Romay-Barja M, Herrador Z, Rubio JM, Ncogo P, Santana-Morales M, Valladares B, Riloha M, Benito A",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=28086777
795,"Liu Y, Liang X, Li J, Chen J, Huang H, Zheng Y, He J, Ehapo CS, Eyi UM, Yang P, Lin L, Chen W, Sun G, Liu X, Zha G, Wang J, Wang C, Wei H, Lin M.",2022,https://pubmed.ncbi.nlm.nih.gov/35670601/
26875763,"Menegon M, Nurahmed AM, Talha AA, Nour BY, Severini C",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=26875763
16817953,Schunk M,2006,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1524791&tool=pmcentrez&rendertype=abstract
20691106,Eshetu T,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2922303&tool=pmcentrez&rendertype=abstract
738,"Patricia Mula, Amalia Fernández-Martínez, Aida de Lucio, Jose Manuel Ramos, Francisco Reyes, Vicenta González, Agustín Benito,Pedro Berzosa",2011,https://www.ncbi.nlm.nih.gov/pubmed/?term=21810256
24964730,Kebede S,2014,http://www.ncbi.nlm.nih.gov/pubmed/24964730
25986047,NA,NA,NA
571,"Lo E, Hemming-Schroeder E, Yewhalaw D, Nguyen J, Kebede E, Zemene E, Getachew S, Tushune K, Zhong D, Zhou G, Petros B, Yan G",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=28746333
22232280,Legrand E,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3294927&tool=pmcentrez&rendertype=abstract
17096149,Mayengue PI,2007,http://www.ncbi.nlm.nih.gov/pubmed/17096149
16235185,Uhlemann AC,2005,http://www.ncbi.nlm.nih.gov/pubmed/16235185
21251998,Lekana-Douki JB,2011,http://www.ncbi.nlm.nih.gov/pubmed/21251998
23153201,Zatra R,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3534593&tool=pmcentrez&rendertype=abstract
506,"Maghendji-Nzondo S, Kouna LC, Mourembou G, Boundenga L, Imboumy-Limoukou RK, Matsiegui PB, Manego-Zoleko R, Mbatchi B, Raoult D, Toure-Ndouo F, Lekana-Douki JB",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27538948
11751128,Mawili-Mboumba DP,2002,http://www.ncbi.nlm.nih.gov/pubmed/?term=11751128
18008244,Ord R,2007,http://www.ncbi.nlm.nih.gov/pubmed/18008244
12518847,Sutherland CJ,2002,http://www.ncbi.nlm.nih.gov/pubmed/12518847
15388456,Hallett RL,2004,http://www.ncbi.nlm.nih.gov/pubmed/?term=15388456
16206082,Meerman L,2005,http://www.ncbi.nlm.nih.gov/pubmed/16206082
16117966,Ehrhardt S,2003,http://www.ncbi.nlm.nih.gov/pubmed/?term=16117966
17158810,Duah NO,2007,http://www.ncbi.nlm.nih.gov/pubmed/17158810
24172030,Duah NO,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3819684&tool=pmcentrez&rendertype=abstract
21327004,Abruquah HH,2010,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2994155/
21288822,"Md Tauqeer Alam, Dziedzom K. de Souza, Sumiti Vinayak, Sean M. Griffing, Amanda C. Poe, Nancy O. Duah, Anita Ghansah, Kwame Asamoa, Laurence Slutsker, Michael D. Wilson, John W. Barnwell, Venkatachalam Udhayakumar, and Kwadwo A. Koram",2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3071065&tool=pmcentrez&rendertype=abstract
21745377,Kwansa-Bentum B,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3146903&tool=pmcentrez&rendertype=abstract
656,"Osarfo J, Tagbor H, Magnussen P, Alifrangis M.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29582732
27026134,"Asare KK, Boampong JN, Duah NO, Afoakwah R, Sehgal R, Quashie NB",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27026134
780,"Mensah BA, Aydemir O, Myers-Hansen JL, Opoku M, Hathaway NJ, Marsh PW, Anto F, Bailey J, Abuaku B, Ghansah A.",2020,https://pubmed.ncbi.nlm.nih.gov/31932374/
759,"Dieng CC, Gonzalez L, Pestana K, Dhikrullahi SB, Amoah LE, Afrane YA, Lo E.",2019,https://www.ncbi.nlm.nih.gov/pubmed/?term=31315304
11679121,Mockenhaupt FP,2001,http://www.ncbi.nlm.nih.gov/pubmed/11679121
25421474,Jovel IT,2015,http://www.ncbi.nlm.nih.gov/pubmed/25421474
19718439,Ursing J,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2729929&tool=pmcentrez&rendertype=abstract
17488902,Ursing J,2007,http://www.ncbi.nlm.nih.gov/pubmed/17488902
17467343,Ursing J,2007,http://www.ncbi.nlm.nih.gov/pubmed/17467343
21148503,Ursing J,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3086436&tool=pmcentrez&rendertype=abstract
753,"Sidsel, Nag",2019,https://www.ncbi.nlm.nih.gov/pubmed/31349834
775,"Ursing J, Rombo L, Eksborg S, Larson L, Bruvoll A, Tarning J, Rodrigues A, Kofoed PE.",2020,NA
